Termo Sugerido (Mais Comum);Variações Detectadas (Duplicatas);Qtd Variações;Frequência Total
Fronteiras;Fronteira [Score: 95];1;20
Inseminação artificial;Iluminação artificial [Score: 88];1;22
Transexualidade;Transtextualidade [Score: 94];1;19
Lajes cogumelo;Laje Cogumelo [Score: 96];1;20
Competências;Competência [Score: 96];1;20
Literatura - estudo e ensino;Teatro - estudo e ensino [Score: 88];1;30
Espermatozóides;Espermatozoides [Score: 93];1;19
Genocídio;Etnocídio [Score: 89];1;24
Cooperativismo;Cooperativismo. [Score: 97];1;19
Mineração de dados;Integração de dados [Score: 92];1;20
Redes de informação;Áreas de informação [Score: 89];1;20
Resistência à insulina;Resistência insulinica [Score: 91];1;19
Melancolia;Melancia [Score: 89];1;28
Estatística - matemática;Estatística matemática [Score: 96];1;20
Anuro;Anuros [Score: 91];1;27
Pacientes - medidas de segurança;Pacientes- medidas de segurança [Score: 98];1;18
Salários;Salário [Score: 93];1;18
Solos - classificação;Solo - classificação [Score: 98];1;18
Geometria Euclidiana;Geometria não-euclidiana [Score: 91];1;22
Uso da informação;Busca da informação [Score: 89];1;32
Teoria institucional;Teoria constitucional [Score: 93];1;19
Lagarto;Lagartos [Score: 93];1;21
Interlíngua (Aprendizagem de línguas);Surdos - interlíngua (Aprendizagem de línguas) [Score: 89];1;23
Taxa de juros;Taxas de juros [Score: 96];1;24
Medula espinhal - ferimentos e lesões;Medula espinhal -  ferimentos e lesões [Score: 99];1;20
Depressão;Expressão [Score: 89];1;22
Agentes comunitários de saúde;Agente comunitário de saúde [Score: 96];1;21
Estágio supervisionado;Estágios supervisionados [Score: 96];1;20
Rádio;Rádios [Score: 91];1;20
Polimerização;Copolimerização [Score: 93];1;21
Transporte urbano;Transportes urbanos [Score: 94];1;20
Gastronomia;Astronomia [Score: 95];1;22
Processo judicial;Processos judiciais [Score: 89];1;21
Política social - Brasil;Política comercial - Brasil [Score: 90];1;23
Cinema - educação;China - educação [Score: 91];1;19
Regulação econômica;Relação econômica [Score: 94];1;19
Escolas - organização e administração;Escolas técnicas - organização e administração [Score: 89];1;19
Consumidores;Consumidor [Score: 91];1;20
Métodos de ensino;Método de ensino [Score: 97];1;27
Professores universitários;Professoras universitárias [Score: 92];1;19
Elementos finitos;Elementos infinitos [Score: 94];1;19
Transporte público;Transportes públicos [Score: 95];1;25
Aço - estruturas;Dano - estruturas [Score: 91];1;28
Termografia infravermelha;Fotografia infravermelha [Score: 90];1;16
Genética - estudo e ensino;Óptica - estudo e ensino [Score: 88];1;17
Granito;Granitos [Score: 93];1;13
Nanossílica;Nanosílica [Score: 95];1;15
Avaliação econômica;Valoração econômica [Score: 89];1;19
Interoperabilidade;Interroperabilidade [Score: 97];1;14
Computação forense;Comparação forense [Score: 89];1;13
Desigualdade;Desigualdades [Score: 96];1;13
Segregação socioespacial;Segregação espacial [Score: 88];1;17
Processo estocástico;Processos estocásticos [Score: 95];1;18
Escolas Parque - Brasília (DF);Escolas-parque - Brasília (DF) [Score: 97];1;14
Transferência (Psicologia);Contratransferência (Psicologia) [Score: 90];1;14
Passiflora edulis Sims f. flavicarpa Deneger;Passiflora edulis f. flavicarpa Deneger [Score: 94];1;13
Análise de risco;Análise de riscos [Score: 97];1;13
Análise de sensibilidade;Análise de estabilidade [Score: 89];1;13
Direitos indígenas;Direito indígena [Score: 94];1;19
Bovino - genética;Ovino - genética [Score: 97];1;24
Aprendizagem informal;Aprendizagem formal [Score: 95];1;15
Eficiência técnica;Ineficiência técnica [Score: 95];1;13
Catálise heterogênea;Fotocatálise heterogênea [Score: 91];1;13
Ambiguidade;Ambigüidade [Score: 91];1;13
Semiárido;Seminário [Score: 89];1;13
Plantas transgênicas;plantas trangênicas [Score: 97];1;13
Estudo comparativo;Estudo comparado [Score: 88];1;13
Unidade de terapia intensiva;nidade de Terapia Intensiva [Score: 98];1;13
Câncer - crianças;Câncer em crianças [Score: 91];1;15
Energia elétrica - produção;Energia elétrica - preços [Score: 88];1;15
Ácido lático;Ácido láurico [Score: 88];1;14
Gestão democrática;Erosão democrática [Score: 89];1;14
Pesticidas;Pesticida [Score: 95];1;14
Intemperismo;Biointemperismo [Score: 89];1;15
Planejamento territorial;Planejamento setorial [Score: 89];1;14
Periferia;Periferias [Score: 95];1;14
Eletroquímica;Petroquímica [Score: 88];1;16
Transtorno de Déficit de Atenção e Hiperatividade (TDAH);Transtorno de Déficit de Atenção e Hiperatividade (TDAH) - tratamento [Score: 90];1;14
Astronomia - estudo e ensino;Gastronomia - estudo e ensino [Score: 98];1;13
Medicamentos - prescrição;Medicamentos sem prescrição [Score: 92];1;15
Estilo de vida;Estilos de vida [Score: 97];1;14
Naturalismo;Atualismo [Score: 90];1;14
Aterosclerose;Arteriosclerose [Score: 93];1;13
Acidentes do trabalho;Acidentes de trabalho [Score: 95];1;24
Intermidialidade;Intermedialidade [Score: 94];1;13
Urbanização - Distrito Federal (Brasil);Educação - Distrito Federal (Brasil) [Score: 88];1;19
Óxido nítrico;Óxido  nítrico [Score: 96];1;13
Práticas sociais;Práticas espaciais [Score: 88];1;13
Cadeia produtiva;Cadeias produtivas [Score: 94];1;14
Memória cultural;Memória biocultural [Score: 91];1;16
Campos eletromagnéticos;Campo eletromagnético [Score: 95];1;14
Participação cidadã;Participação do cidadão [Score: 90];1;15
Erva daninha;Ervas daninhas [Score: 92];1;12
Carne bovina;Carne ovina [Score: 96];1;14
Reforma administrativa;Teoria administrativa [Score: 88];1;12
Oxidação;Epoxidação [Score: 89];1;12
Timo;Timol [Score: 89];1;14
Vascularização;Secularização [Score: 89];1;15
Prática docente;Práticas docentes [Score: 94];1;21
Microclimas;Microclima [Score: 95];1;13
Desenho;Desenhos [Score: 93];1;12
Cráton do São Francisco;Cráton São Francisco [Score: 93];1;12
Microscopia;Otomicroscopia [Score: 88];1;12
Psicologia política;Sociologia política [Score: 89];1;22
Ensino - meios auxiliares;Ensino - materiais auxiliares [Score: 89];1;13
Redes sem fio;Rede sem fio [Score: 96];1;15
Fraturas;Fratura [Score: 93];1;12
Ensaios clínicos;Ensaio clínico [Score: 93];1;16
Mediação pedagógica;Ação pedagógica [Score: 88];1;12
Estudantes com deficiência;Estudante com deficiência [Score: 98];1;12
Solos - conservação;Solo - conservação [Score: 97];1;12
Estados Unidos - política e governo;Estados Unidos - política externa [Score: 88];1;12
Tradição oral;Tradução oral [Score: 92];1;12
Atitudes;Atitude [Score: 93];1;12
Imagens, ilustrações, etc.;Imagens, ilustrações, etc.- arte [Score: 90];1;15
Educação emancipadora;Educação emancipatória [Score: 88];1;13
Saúde - políticas públicas;Saúde - política pública [Score: 96];1;14
Linhas de transmissão - proteção diferencial;Linhas de transmissão - proteção diferencial - modelagem [Score: 88];1;13
Indicadores de sustentabilidade;Indicador de sustentabilidade [Score: 97];1;13
Indicadores sociais;Indicadores espaciais [Score: 90];1;13
Nutrição - adolescentes;Nutrição adolescente [Score: 93];1;13
Comunicação - aspectos sociais;Comunidade - aspectos sociais [Score: 88];1;13
Parentalidade;Coparentalidade [Score: 93];1;12
Professores de educação física;Professores de  Educação Física [Score: 98];1;12
Solos - degradação;Solo - degradação [Score: 97];1;12
Atividade biológica;Atividades biológicas [Score: 95];1;16
Psicólogos escolares;Psicólogo escolar [Score: 92];1;13
Governança global;Governança local [Score: 91];1;12
Variação lingüística;Variação linguística [Score: 95];1;14
Parasito;Parasitose [Score: 89];1;12
Gênero discursivo;Gêneros discursivos [Score: 94];1;15
Ontogenia;Fotogenia [Score: 89];1;12
Leitura - educação;Leitura - mediação [Score: 89];1;15
Economia política;Ecologia política [Score: 88];1;20
Artesanato;Artesunato [Score: 90];1;14
Cálculo;Cálculos [Score: 93];1;14
Repositório digital;Repositórios Digitais [Score: 90];1;16
Indicadores econômicos;Indicadores socioeconômicos [Score: 90];1;17
Equações quasilineares;Equações semilineares [Score: 88];1;17
Tireóide - hormônios;Tireóide - hormônio [Score: 97];1;15
Estomia;Estoma [Score: 92];1;15
Feminismo - Brasil;Familismo - Brasil [Score: 89];1;15
Ameaças cibernéticas;Armas cibernéticas [Score: 89];1;15
Drogas - aspectos sociais;Índios - aspectos sociais [Score: 88];1;15
Ciências forenses;Ciência forense [Score: 94];1;16
Informação estratégica;Interação estratégica [Score: 88];1;15
Verbos;Verbo [Score: 91];1;16
Psicologia da saúde;Sociologia da saúde [Score: 89];1;15
Província da Borborema;Província Borborema [Score: 93];1;23
Treinamento - avaliação;Letramento - avaliação [Score: 89];1;23
Índice de massa corporal (IMC);Índice de massa corporal [Score: 89];1;18
Radiofrequência;Rádiofrequência [Score: 93];1;16
Ambiente urbano;"Ambiente urbano
. [Score: 94]";1;15
Creches;Creche [Score: 92];1;15
Fertilizantes;Biofertilizantes [Score: 90];1;19
Condutividade elétrica;Condutividade térmica [Score: 88];1;16
Microbiota;Microbioma [Score: 90];1;17
Tributos;Atributos [Score: 94];1;16
Teste de esforço;Texte de esforço [Score: 94];1;15
Cavalo;Cavalos [Score: 92];1;18
Moda;Moeda [Score: 89];1;19
Resistência genética;Resistência elétrica [Score: 90];1;16
Neoconservadorismo;Conservadorismo [Score: 91];1;24
Platão - crítica e interpretação;Canção - crítica e interpretação [Score: 91];1;16
Sociologia da infância;Sociologia da ciência [Score: 88];1;19
Doenças cardiovasculares;Doença cardiovascular [Score: 93];1;17
Estratégia;Estratégias [Score: 95];1;16
Diagnóstico de Enfermagem;Diagnóstico em enfermagem [Score: 96];1;15
Ouro;Touro [Score: 89];1;17
Projeto político pedagógico;Projeto político-pedagógico [Score: 96];1;15
Educação ambiental - Brasil;Degradação ambiental - Brasil [Score: 89];1;18
Sala de aula;Salas de aula [Score: 96];1;17
Bebidas alcoólicas - consumo;Bebidas alcóolicas - consumo [Score: 96];1;16
Teoria crítica;Teorias críticas [Score: 93];1;15
Espectroscopia de Raman;Espectroscopia Raman [Score: 93];1;18
Estudos transversais;Estudo transversal [Score: 89];1;15
Linguagem de programação (Computadores);R (Linguagem de programação de computador) [Score: 89];1;15
Materiais de construção;Materias de construção [Score: 98];1;15
Fluorescência;Inflorescência [Score: 89];1;15
Modelos econométricos;Modelo econométrico [Score: 95];1;22
Genótipos;Genótipo [Score: 94];1;15
Brasil - política e governo - 2003-2010;Brasil - política e governo - 1920-1930 [Score: 90];1;14
Relações étnicas;Relações estéticas [Score: 88];1;14
Colaboração científica;Cooperação científica [Score: 88];1;14
Vigotsky, Lev Semenovich, 1896-1934 - crítica e interpretação;Vygotsky, Lev Semenovich, 1896-1934 - crítica e interpretação [Score: 98];1;15
Digitalização;Digitização [Score: 92];1;14
Sedimentos;Sedimento [Score: 95];1;14
Teoria das estruturas;Teoria da Estruturação [Score: 88];1;14
Madeira - Amazônia;Madeira da Amazônia [Score: 92];1;14
Sistema agroflorestal;Sistemas agroflorestais [Score: 91];1;14
Industrialização;Desindustrialização [Score: 91];1;14
Comutadores;Computadores [Score: 96];1;18
Teoria da informação;Teoria da inovação [Score: 89];1;14
Afeto (Psicologia);Ego (Psicologia) [Score: 88];1;15
Valores sociais;Atores sociais [Score: 90];1;18
Língua portuguesa - sintaxe;Língua portuguesa - escrita [Score: 89];1;17
Resistência à tração;Resistência à penetração [Score: 91];1;14
Luminescência;Bioluminescência [Score: 90];1;15
Biomassa florestal;Biomassa floresta [Score: 97];1;14
Questão social;Gestão social [Score: 89];1;16
Desempenho térmico;Desempenho  térmico [Score: 97];1;14
Usuários de bibliotecas;Usuários - bibliotecas [Score: 93];1;15
Teoria histórico-cultural;Teoria - histórico - cultural [Score: 93];1;15
Dendrometria;Dentrometria [Score: 92];1;15
Política ambiental - Brasil;Política alimentar - Brasil [Score: 89];1;26
Constituição;Contituição [Score: 96];1;15
Transportes coletivos;Transporte coletivo [Score: 95];1;16
Religião e sociologia;Religião e Psicologia [Score: 90];1;16
Comportamento verbal;Comportamento não verbal [Score: 91];1;16
Pele;Pelve [Score: 89];1;15
Política linguística;Políticas linguísticas [Score: 95];1;16
Lei de inovação tecnológica;Núcleo de Inovação Tecnológica [Score: 91];1;19
Estimulação elétrica transcutânea do nervo;Estimulação elétrica transcutânea [Score: 88];1;14
Brasil - política e governo;Cuba - política e governo [Score: 88];1;16
Agentes antiinfecciosos;Agentes infecciosos [Score: 90];1;14
Contos - análise;Conflito - análise [Score: 88];1;14
Educação matemática;Educação - matemática [Score: 95];1;20
Ferrofluidos;Ferrofluido [Score: 96];1;15
Solução de problemas;Resolução de problemas [Score: 95];1;25
Melatonina;Melanina [Score: 89];1;23
Olhos - doenças;Coelho - doenças [Score: 90];1;14
Afetividade;Efetividade [Score: 91];1;32
Autoritarismo;Autoritarismos [Score: 96];1;22
Doenças sexualmente transmissíveis;Doenças sexualmente transmissíveis - homens [Score: 88];1;22
Psicoterapia;Musicoterapia [Score: 88];1;50
Diagnóstico;Diagóstico [Score: 95];1;52
Inflamação;Inflação [Score: 89];1;74
Aprendizagem organizacional;Aprendizado organizacional [Score: 91];1;52
Ideologia;Ideologias [Score: 95];1;51
Terminologia;Termologia [Score: 91];1;51
Direitos fundamentais;Direito fundamental [Score: 90];1;54
Eficiência;Deficiência [Score: 95];1;59
Pesquisa qualitativa;Pesquisa quantitativa [Score: 93];1;54
Políticas públicas de saúde;Políticas públicas - saúde [Score: 94];1;52
Juventude;Juventudes [Score: 95];1;50
Agricultura;Maricultura [Score: 91];1;48
Engenharia de software;Reengenharia de software [Score: 96];1;48
Empreendedorismo;Afroempreendedorismo [Score: 89];1;48
Desenvolvimento regional;Desenvolvimento emocional [Score: 90];1;51
Vigilância Epidemiológica;Vigilância Epidemiológia [Score: 98];1;48
Mineração;Interação [Score: 89];1;62
Tradução Literária;Produção literária [Score: 89];1;47
Comunidades quilombolas;Comunidade quilombola [Score: 95];1;48
Unidades de conservação;Unidade de conservação [Score: 98];1;51
Estudo de usuários;Estudos de usuários [Score: 97];1;56
Psicologia organizacional;Sociologia organizacional [Score: 92];1;54
Administração pública - Brasil;Administração local - Brasil [Score: 90];1;53
Liderança;Liderança. [Score: 95];1;56
Sociedade da informação;Sociedade de informação [Score: 96];1;58
Informação;Formação [Score: 89];1;62
Extensão universitária;Expansão universitária [Score: 91];1;59
Direito;Direitos [Score: 93];1;59
Processamento de imagens - técnicas digitais;Processamento de sinais - técnicas digitais [Score: 92];1;59
Equino;Equinos [Score: 92];1;62
Água;Águas [Score: 89];1;57
Mídia;Mídias [Score: 91];1;57
Arquitetura da informação;Arquitetura de informação [Score: 96];1;57
Biotecnologia;Biogeotecnologia [Score: 90];1;54
Solos;Solo [Score: 89];1;57
Currículos;Currículo [Score: 95];1;57
Polimorfismo (Genética);Polimorfismo genético [Score: 91];1;60
Maternidade;Paternidade [Score: 91];1;66
Pessoas com deficiência;Pessoa com deficiência [Score: 98];1;54
Cultura popular;Culturas populares [Score: 91];1;54
Narrativa;Narrativas [Score: 95];1;63
Bibliotecas universitárias;Biblioteca universitária [Score: 96];1;59
Segurança alimentar;Insegurança alimentar [Score: 95];1;49
Produtividade;Proatividade [Score: 88];1;47
Fenologia vegetal;Ecologia vegetal [Score: 91];1;46
Conservação;Geoconservação [Score: 88];1;46
Brasil. Supremo Tribunal Federal;Brasil. Supremo Tribunal Federal (STF) [Score: 91];1;59
Alimentação;Alienação [Score: 90];1;47
Terapia fotodinâmica;Terapia fotodinâmina [Score: 95];1;41
Museus;Museu [Score: 91];1;46
Raça;Traça [Score: 89];1;41
Burocracia;Burocravia [Score: 90];1;41
Licenciamento ambiental;Licenciamento ambiental rural [Score: 88];1;40
Maracujá;Maracujás [Score: 94];1;40
Vulnerabilidade;Vulnerabilidades [Score: 97];1;40
Economia - Brasil;Economistas - Brasil [Score: 92];1;39
Psicodinâmica do Trabalho;Ppsicodinâmica do trabalho [Score: 98];1;39
Transtorno do Espectro Autista;Transtornos do espectro autista [Score: 98];1;41
Bovino - doenças;Ovino - doenças [Score: 97];1;56
Geomorfologia;Ecomorfologia [Score: 92];1;40
Modernidade;Modernindade [Score: 96];1;40
Conhecimento;Reconhecimento [Score: 92];1;53
Atividade física;Atividades físicas [Score: 94];1;38
Ciência;Ciências [Score: 93];1;39
Orçamento;Ornamento [Score: 89];1;38
Infecção;Coinfecção [Score: 89];1;42
Trabalho docente;Trabalho decente [Score: 94];1;42
